,01-ai/Yi-Coder-1.5B,01-ai/Yi-Coder-1.5B-Chat,01-ai/Yi-Coder-9B,01-ai/Yi-Coder-9B-Chat,Qwen/Qwen2.5-Coder-1.5B,Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen/Qwen2.5-Coder-32B-Instruct,Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,bigcode/starcoder,bigcode/starcoder2-15b,bigcode/starcoder2-3b,bigcode/starcoder2-7b,codellama/CodeLlama-34b-Instruct-hf,codellama/CodeLlama-70b-Instruct-hf,codellama/CodeLlama-7b-hf,deepseek-ai/deepseek-coder-1.3b-base,deepseek-ai/deepseek-coder-1.3b-instruct,deepseek-ai/deepseek-coder-6.7b-base,deepseek-ai/deepseek-coder-6.7b-instruct,google/codegemma-2b,google/codegemma-7b,human,ibm-granite/granite-8b-code-base-4k,ibm-granite/granite-8b-code-instruct-4k,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-3B,meta-llama/Llama-3.3-70B-Instruct,microsoft/Phi-3-medium-4k-instruct,microsoft/Phi-3-mini-4k-instruct,microsoft/Phi-3-small-8k-instruct,microsoft/Phi-3.5-mini-instruct,microsoft/phi-2
meta-llama/Llama-3.1-8B,0.003,0.022,0.004,0.019,0.014,0.015,0.01,0.046,0.007,0.016,0.005,0.003,0.097,0.029,0.011,0.029,0.018,0.009,0.024,0.021,0.018,0.049,0.05,0.071,0.079,0.0,0.026,0.046,0.078,0.009,0.005,0.018,0.006,0.005,0.01
meta-llama/Llama-3.1-8B-Instruct,0.008,0.052,0.011,0.052,0.006,0.016,0.059,0.023,0.021,0.005,0.003,0.006,0.065,0.128,0.014,0.016,0.018,0.022,0.007,0.031,0.002,0.014,0.064,0.028,0.028,0.013,0.0,0.014,0.008,0.032,0.026,0.016,0.009,0.011,0.004
meta-llama/Llama-3.2-1B,0.057,0.02,0.006,0.01,0.019,0.003,0.001,0.001,0.002,0.006,0.009,0.034,0.045,0.004,0.001,0.023,0.098,0.069,0.001,0.024,0.014,0.006,0.003,0.002,0.058,0.01,0.004,0.0,0.017,0.003,0.01,0.016,0.014,0.001,0.006
meta-llama/Llama-3.2-3B,0.019,0.027,0.025,0.01,0.023,0.009,0.014,0.034,0.013,0.026,0.014,0.036,0.05,0.027,0.008,0.034,0.017,0.009,0.018,0.017,0.018,0.048,0.045,0.045,0.068,0.115,0.012,0.07,0.0,0.013,0.0,0.021,0.009,0.002,0.021
meta-llama/Llama-3.3-70B-Instruct,0.0,0.029,0.001,0.014,0.0,0.015,0.081,0.019,0.02,0.002,0.0,0.0,0.001,0.198,0.05,0.003,0.0,0.01,0.002,0.005,0.002,0.009,0.007,0.028,0.002,0.003,0.016,0.001,0.0,0.0,0.008,0.016,0.004,0.02,0.005
microsoft/Phi-3-medium-4k-instruct,0.012,0.012,0.031,0.021,0.011,0.03,0.029,0.003,0.028,0.007,0.007,0.024,0.017,0.008,0.172,0.009,0.009,0.004,0.004,0.018,0.003,0.001,0.001,0.002,0.027,0.001,0.006,0.008,0.001,0.009,0.0,0.087,0.016,0.065,0.005
microsoft/Phi-3-mini-4k-instruct,0.02,0.026,0.011,0.023,0.021,0.019,0.037,0.007,0.017,0.012,0.008,0.048,0.033,0.016,0.064,0.02,0.021,0.014,0.002,0.014,0.006,0.004,0.004,0.001,0.043,0.004,0.016,0.011,0.006,0.042,0.024,0.0,0.043,0.095,0.008
microsoft/Phi-3-small-8k-instruct,0.014,0.038,0.021,0.037,0.022,0.019,0.073,0.012,0.022,0.01,0.015,0.035,0.029,0.044,0.055,0.016,0.014,0.024,0.008,0.036,0.007,0.009,0.009,0.005,0.063,0.003,0.012,0.016,0.005,0.019,0.024,0.105,0.0,0.042,0.007
microsoft/Phi-3.5-mini-instruct,0.004,0.024,0.001,0.016,0.011,0.037,0.074,0.02,0.034,0.004,0.001,0.002,0.007,0.049,0.17,0.006,0.013,0.011,0.007,0.019,0.002,0.008,0.014,0.01,0.031,0.002,0.012,0.007,0.001,0.031,0.028,0.127,0.024,0.0,0.004
microsoft/phi-2,0.031,0.028,0.044,0.02,0.022,0.012,0.016,0.039,0.014,0.027,0.035,0.071,0.07,0.032,0.018,0.02,0.024,0.009,0.024,0.012,0.02,0.032,0.033,0.056,0.084,0.016,0.018,0.023,0.015,0.016,0.005,0.033,0.01,0.009,0.0
